WKT,id,geometry
"MULTIPOLYGON EMPTY",,
"MULTIPOLYGON (((679761.256900589 6159072.50788208,704866.596485838 6159697.90780057,705626.01067258 6141561.31016425,679761.256900589 6140712.55313201,679761.256900589 6159072.50788208)))",,MultiPolyg
