id,vertex,longitude,latitude
1,1,679761.256900589,6159072.50788208
1,2,704866.596485838,6159697.90780057
1,3,705626.01067258,6141561.31016425
1,4,679761.256900589,6140712.55313201
1,5,679761.256900589,6159072.50788208

